run_name,terrain_name,maneuver_name,n_samples,odom_traj_rmse_m,corrected_traj_rmse_m,traj_rmse_improvement_percent,traj_rmse_delta_m,traj_improved,odom_final_error_m,corrected_final_error_m,final_error_improvement_percent,final_error_delta_m,cnn_final_minus_odom_final_m,final_position_improved,odom_max_position_error_m,corrected_max_position_error_m,max_position_error_improvement_percent,max_position_error_delta_m,max_position_improved,odom_final_yaw_error_deg,corrected_final_yaw_error_deg,final_yaw_error_improvement_deg,final_yaw_error_improvement_percent,mean_gate_vx,mean_gate_vy,mean_applied_alpha_vx,mean_applied_alpha_vy
concrete_concrete_circle,other,circle,1712,0.38516591128488925,0.25766952481823413,33.101679751807524,0.12749638646665512,True,0.38006436187678694,0.26766376130298847,29.574096350090727,0.11240060057379847,-0.11240060057379847,True,0.5688933306286194,0.35506478660710356,37.58675528595812,0.2138285440215158,True,8.824561483886287,2.2945883726992644,6.529973111187022,73.99770655018723,0.5234305262565613,0.9376346468925476,0.2512466311454773,0.45006462931632996
rubber_rubber_circle,other,circle,1651,0.36582422052069935,0.2871043959382876,21.51848351384857,0.07871982458241172,True,0.43811332436335837,0.2974166579689227,32.11421761684335,0.14069666639443568,-0.14069666639443568,True,0.5285190668076357,0.40635255677005316,23.11487280402077,0.12216651003758255,True,12.608569997216607,2.7382954867958365,9.87027451042077,78.28226763700938,0.5066264271736145,0.9451001286506653,0.24318067729473114,0.45364806056022644
concrete_concrete_long_s_turn,other,s_turn,899,0.523772393725831,0.4039268430971885,22.88122704904827,0.11984555062864244,True,0.7532323705135056,0.5736687403926758,23.839075051755252,0.17956363012082976,-0.17956363012082976,True,0.7559813100592242,0.5736687403926758,24.11601546766624,0.1823125696665484,True,2.5077180924973557,4.345212483472207,-1.8374943909748516,-73.27356278492013,0.5084512233734131,0.9615716338157654,0.2440565675497055,0.4615543782711029
rubber_rubber_s_turn,other,s_turn,635,0.41109316278107094,0.34333566137828103,16.48227398004048,0.06775750140278991,True,0.567403488939943,0.4686054500262686,17.412307262730227,0.09879803891367439,-0.09879803891367439,True,0.5718144849811941,0.4686054500262686,18.049391483729188,0.10320903495492556,True,4.477177536716958,4.431601782249841,0.04557575446711759,1.0179572753895652,0.4486483931541443,0.9519975185394287,0.21535122394561768,0.4569588303565979
concrete_concrete_sideways_square,other,sideways_square,1033,0.23439117070553478,0.16954657392342368,27.665119205183398,0.0648445967821111,True,0.11055058316879658,0.1563424952276947,-41.42168294940582,-0.04579191205889811,0.04579191205889811,False,0.31846707535248386,0.21105073679604516,33.729181717623014,0.1074163385564387,True,1.9875421190693103,11.428351116090521,-9.440808997021211,-474.99919153622665,0.0008163410820998251,0.99552983045578,0.00039184369961731136,0.47785434126853943
slippery_slippery_m,slippery,m_path,1064,0.5492904080513795,0.351704193419505,35.97117512625356,0.19758621463187453,True,0.818073540769271,0.5554231672147378,32.10596119604984,0.26265037355453313,-0.26265037355453313,True,0.9097679611998813,0.5554231672147378,38.94891984521006,0.3543447939851435,True,0.6534951358006655,8.0728755456095,-7.419380409808835,-1135.3382761936816,0.9520221948623657,0.9993650913238525,0.45697060227394104,0.479695200920105
misc_concrete_slippery_rectangle,slippery,rectangle,1068,0.3977554698031375,0.31052638185483,21.93033020802456,0.08722908794830747,True,0.0326402975715966,0.07142719864079487,-118.83133413265939,-0.03878690106919827,0.03878690106919827,False,0.7138098183416122,0.5270645776673352,26.161764082783357,0.186745240674277,True,12.087384882684683,15.237186471111226,-3.149801588426543,-26.058586029958143,0.5409868359565735,0.9731481671333313,0.25967368483543396,0.46711108088493347
slippery_slippery_s_turn,slippery,s_turn,602,0.39715426523819397,0.37137372072854513,6.491317547398594,0.02578054450964884,True,0.5461335625668549,0.5925528534995824,-8.499622457655704,-0.046419290932727564,0.046419290932727564,False,0.9275392557235785,0.7660289854214783,17.412769249976932,0.1615102703021002,True,9.354489979270413,11.450538490153313,-2.0960485108829,-22.406871091077676,0.96663498878479,0.9992040991783142,0.46398478746414185,0.4796178936958313
slippery_slippery_sideways_square,slippery,sideways_square,1258,0.22079625651559043,0.32178700870805527,-45.739340777878574,-0.10099075219246484,False,0.33476797832376876,0.4875798210588355,-45.64709071047284,-0.15281184273506676,0.15281184273506676,False,0.516317534483844,0.5922361677731474,-14.703865009194052,-0.07591863328930337,False,1.3117007364546114,14.418794386483585,-13.107093650028974,-999.2442091216678,0.42250320315361023,0.9781966805458069,0.20280154049396515,0.46953442692756653
slippery_slippery_square,slippery,square,1253,0.623976987384523,0.81314169499827,-30.315975018029814,-0.18916470761374704,False,0.6530595101385032,1.1618335128099806,-77.90622367073023,-0.5087740026714774,0.5087740026714774,False,1.4302613350676274,1.3472902516523253,5.801113501497191,0.08297108341530213,True,6.474694428713266,17.193601859367874,-10.718907430654607,-165.55078465355166,0.8269194960594177,0.9946548342704773,0.3969213664531708,0.47743433713912964
watery_watery_m,watery,m_path,1087,0.35620693761270605,0.3352411291066239,5.885850693025439,0.02096580850608215,True,0.3879465252677362,0.40472395346611434,-4.324675465722862,-0.01677742819837813,0.01677742819837813,False,0.6777062202028893,0.5233916680947988,22.770124798602616,0.15431455210809053,True,11.850479726454425,10.22441542722259,1.6260642992318353,13.721506105798314,0.4760671854019165,0.9703498482704163,0.22851227223873138,0.46576792001724243
whiteboard_white_board_s_turn,whiteboard,s_turn,688,0.39492031813020184,0.3499993077099841,11.374702277386413,0.04492101042021773,True,0.573274844807004,0.49053062850821894,14.433603191963066,0.08274421629878503,-0.08274421629878503,True,0.576863304135944,0.4912450923403995,14.842027770129691,0.08561821179554452,True,2.878211264965012,6.5569190423972055,-3.6787077774321935,-127.81229169002339,0.40322497487068176,0.9375967979431152,0.19354800879955292,0.4500464200973511
